GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANK8E001,ANK8E002,ANK8E003,ANK8E004,ANK8E005,ANK8E006,ANK8E007,ANK8E008,ANK8E009,ANK8E010,ANK8E011,ANK8E012,ANK8E013,ANK8E014,ANK8E015,ANK8E016,ANK8E017,ANK8E018,ANK8E019,ANK8E020,ANK8E021,ANK8E022,ANK8E023,ANK8E024,ANK8E025,ANK8E026,ANK8E027,ANK8E028,ANK8E029,ANK8E030,ANK8E031,ANK8E032,ANK8E033,ANK8E034,ANK8E035,ANK8E036,ANK8E037,ANK8E038,ANK8E039,ANK8E040,ANK8E041,ANK8E042,ANK8E043,ANK8E044,ANK8E045,ANK8E046,ANK8E047,ANK8E048,ANK8E049,NAME_M,ANK8M001,ANK8M002,ANK8M003,ANK8M004,ANK8M005,ANK8M006,ANK8M007,ANK8M008,ANK8M009,ANK8M010,ANK8M011,ANK8M012,ANK8M013,ANK8M014,ANK8M015,ANK8M016,ANK8M017,ANK8M018,ANK8M019,ANK8M020,ANK8M021,ANK8M022,ANK8M023,ANK8M024,ANK8M025,ANK8M026,ANK8M027,ANK8M028,ANK8M029,ANK8M030,ANK8M031,ANK8M032,ANK8M033,ANK8M034,ANK8M035,ANK8M036,ANK8M037,ANK8M038,ANK8M039,ANK8M040,ANK8M041,ANK8M042,ANK8M043,ANK8M044,ANK8M045,ANK8M046,ANK8M047,ANK8M048,ANK8M049
"G010","2021","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"0400000US01","01","Alabama",5039877,2445896,149482,154786,168349,97886,70364,38216,32896,90846,158157,153644,150970,163681,144396,156348,164793,66387,95462,59694,72401,117433,70083,42140,27482,2593981,140609,143754,169381,95695,74402,37811,33374,90818,156059,165723,160065,162924,157010,160616,168799,71550,108815,65406,93405,131884,89173,62434,54274,"Alabama",,5868,2753,5044,5077,2970,3696,3736,3278,4401,3901,4497,5983,6352,3256,2478,5118,3847,4221,3632,3643,4474,3360,3028,2112,5868,3269,5837,6769,3309,3409,4062,3728,4566,3326,3641,5992,6040,3031,2319,4623,3809,4517,3765,4146,4519,3606,3856,3460
"G020","2021","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,"0400000US02","02","Alaska",732673,383121,24610,25627,27616,15130,12751,5426,6997,14254,28641,30684,28937,23642,21497,22185,22239,10968,12241,10299,10109,14491,7818,3808,3151,349552,21588,26444,24891,13495,8887,4553,2857,11768,26123,26893,25939,24437,18657,20121,20732,9501,13932,8749,11625,12018,8588,4196,3558,"Alaska",,2429,1587,2606,2424,1541,2060,1033,1659,1661,1557,1732,2344,2025,1501,1269,1888,1569,1594,1340,1286,1275,1010,847,709,2429,1372,2205,2103,1119,1083,1033,761,1139,1462,1343,2251,2220,1105,987,1944,1286,1861,1189,1520,1238,1053,862,768
"G040","2021","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"0400000US04","04","Arizona",7276316,3629620,203199,232179,238758,148878,98426,52218,50061,149541,259719,256794,241186,227304,209506,216335,209309,90655,127114,77086,113451,177194,126043,73150,51514,3646696,199056,214130,237487,140597,95097,43679,48255,144458,242978,241045,228659,218275,209408,215092,214006,90725,148202,87926,131766,196944,139023,83293,76595,"Arizona",,2852,1688,6421,6446,2002,2149,4483,4205,5183,2193,1965,7226,7209,2259,2148,6199,4485,5381,3794,4463,4661,4122,4357,2974,2852,1732,6407,6640,1952,1922,3344,4305,4883,1336,1702,7182,6829,1938,1746,5378,4292,5878,4457,5349,6012,4300,4046,3539
"G050","2021","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,"0400000US05","05","Arkansas",3025891,1493681,91430,103629,103556,64563,42899,23946,23728,57527,90573,101401,96300,95229,85808,90929,97392,35717,53781,34928,43547,68272,44137,25976,18413,1532210,88494,92647,100929,58545,40956,20282,20795,54202,93851,98951,101015,91440,89495,90520,98381,41205,60622,36713,51638,79532,55048,33521,33428,"Arkansas",,4590,2900,5153,4964,2337,2900,2618,2770,3472,3099,2835,4520,4248,2657,2383,3529,3034,3947,2929,2632,2984,2662,2138,1639,4590,2833,4388,4572,2315,3013,3009,2625,4010,2716,2708,4334,4536,2088,2500,4439,3725,3690,2862,2990,3139,2964,2663,2446
"G060","2021","CA",,,"California","06",,,,,,,,,,,,,,,,,,,"0400000US06","06","California",39237836,19618934,1129355,1210580,1356668,795876,519127,264334,264533,774545,1451544,1544298,1447270,1325861,1220258,1259407,1219498,480397,663324,398808,522492,759788,460577,294746,255648,19618902,1080880,1148408,1290704,757308,507369,258631,247246,722403,1374436,1457591,1345433,1296122,1209824,1239439,1227163,480351,703127,446927,584569,856620,575970,385582,422799,"California",,6432,3475,14702,14618,3720,3967,9255,9222,11827,3603,3389,16897,16432,3519,3163,13740,12255,12273,8295,8921,10022,7420,7382,6598,6432,3528,15256,15224,3300,4192,9775,8532,11899,3270,3362,16212,15624,3531,3598,13571,10128,11872,8772,9160,10390,9002,8510,7497
"G080","2021","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,"0400000US08","08","Colorado",5812069,2943037,158361,171525,194453,112199,79285,39041,34120,119881,228128,243564,233686,208015,184585,180367,165243,71714,109714,63612,88988,116597,65879,40631,33449,2869032,149476,164967,179593,111373,72935,32298,38364,110016,211216,218389,211356,197236,173398,171381,174823,73087,108113,65186,92113,132646,78076,54507,48483,"Colorado",,3980,2228,5655,5392,2262,2714,3518,3366,3519,2868,2817,6964,6593,2735,2287,4696,4101,4260,3182,3492,3718,2844,2773,2246,3980,2234,5753,5847,1981,2727,3533,3976,4816,2800,1772,5769,5812,1912,2141,4705,3954,4235,3474,3466,3968,2951,2516,2998
"G090","2021","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,"0400000US09","09","Connecticut",3605597,1768045,90173,98412,110865,71193,52780,29294,24638,68429,114578,114035,115718,108298,105090,122229,122925,53697,77112,44086,57893,76774,50174,30161,29491,1837552,87404,98384,101824,68984,51729,23057,24341,69714,109584,112666,114563,112547,108678,126440,134902,53570,78572,48452,60892,91342,62573,43555,53779,"Connecticut",,2237,1059,4130,4181,1454,1340,3183,2835,3135,906,1271,4409,4185,1414,1322,4623,3229,3985,3072,3106,3321,2241,2409,2183,2237,962,4011,3955,1139,1807,2753,3137,3958,1320,1240,3855,3990,1533,1382,4096,3184,3903,3351,2890,3790,2810,2972,2862
"G100","2021","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,"0400000US10","10","Delaware",1003384,485908,27366,30336,29397,17499,12489,7371,6933,15315,30962,32662,30810,29949,26196,29746,32104,14223,21667,11672,20509,26015,16052,9547,7088,517476,25673,28074,30511,19661,13639,7220,6789,14007,30378,34562,29487,31842,27552,31806,35277,16240,24090,15901,23263,28047,19327,12257,11873,"Delaware",,1201,480,2696,2692,937,970,1427,1724,1839,532,1081,1847,2140,890,912,2213,1927,1721,1486,1840,1811,1586,1307,1239,1201,476,2408,2512,868,1214,1807,1521,1747,1125,611,2376,2426,1011,1074,2397,1899,2143,1731,2059,2047,1672,1407,1393
"G110","2021","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,"0400000US11","11","District of Columbia",670050,319025,20882,16256,18773,8029,8933,3857,3821,12771,31596,36538,29786,24524,18070,17494,15337,8454,8363,5109,6976,9876,6967,3081,3532,351025,19927,19577,14962,7323,11231,5288,4522,15124,38447,39298,32021,24568,17481,17098,17324,7102,9658,6380,8520,13670,9678,4980,6846,"District of Columbia",,601,56,2122,2121,505,609,1333,1257,1546,138,136,2118,2138,2,2,1693,1690,1230,1044,1274,1196,932,896,1003,601,134,2343,2333,518,1565,1237,1329,1899,147,141,1968,1877,375,108,1678,1493,1584,1335,1294,1526,1277,887,1140
"G120","2021","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,"0400000US12","12","Florida",21781128,10714520,558584,584591,663644,390630,248076,128908,135268,367870,667814,722140,684473,684405,651154,695703,712467,308258,416927,258396,372028,576353,419381,253922,213528,11066608,533370,561608,627760,367636,238687,124533,125012,362829,644586,704001,673944,686040,661601,708650,756342,316686,467935,305819,415108,665556,481105,318574,319226,"Florida",,8241,3735,12459,12407,4886,5671,7328,6922,9172,4754,5816,15215,14767,5603,4730,12408,9612,10113,9703,9313,10567,7465,7386,6704,8241,4483,11390,11689,3986,4969,7698,7108,10628,3772,4801,14773,14935,4604,4677,11012,9153,9680,8907,9520,11206,10504,10017,9324
"G130","2021","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"0400000US13","13","Georgia",10799566,5270144,324241,336789,401326,233924,159264,72318,75976,223232,359404,361455,359198,342737,332281,350018,330941,127134,183462,113301,137417,204230,119942,69864,51690,5529422,301728,328293,375779,220044,158098,74806,75218,204259,367378,376609,374625,371808,355400,361145,348419,152200,194370,128628,164184,249181,159070,100480,87700,"Georgia",,9361,5337,10237,11810,6035,5912,6164,6092,9291,5444,6038,10957,10837,4943,5281,7629,5687,6527,5396,5040,6199,4340,3559,3668,9361,6387,9553,11299,5662,5802,6403,6130,7895,6283,5273,10669,10898,4895,4960,8678,8398,8349,5420,5954,6792,4907,5013,5037
"G150","2021","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,"0400000US15","15","Hawaii",1441553,725604,41816,43610,47596,24825,16023,8993,9557,29235,49293,53048,50931,45545,41446,44186,45436,19685,24759,16704,24433,37899,26570,12671,11343,715949,39404,40047,44279,22624,13427,7602,6095,24733,46712,48714,48562,45855,40624,43104,42971,17977,30272,17051,27841,38628,29247,15903,24277,"Hawaii",,1927,1471,2696,2600,864,925,1208,1415,1967,998,1418,3110,2870,1311,1172,2512,2103,1715,1470,1672,1936,1682,1343,1553,1927,1606,2586,2748,746,863,1501,1269,2426,1746,760,3002,2823,1424,878,2366,1811,2268,1585,2076,1953,1831,1705,2105
"G160","2021","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,"0400000US16","16","Idaho",1900923,954313,57222,69263,70331,43612,26865,11354,13667,37165,61407,63619,61574,66072,57514,52573,51796,24728,36161,23862,26925,43795,27264,15000,12544,946610,55829,60667,71766,41296,26670,11344,14105,32201,58098,63316,65497,60291,53193,53162,57808,22822,33925,24583,30436,44944,30236,16635,17786,"Idaho",,2981,1885,3899,4411,1701,2105,2004,2500,3760,1445,1830,3874,3438,2123,1950,2941,2613,2761,2427,2026,2768,1844,1977,1518,2981,1756,3764,3503,1507,1966,2005,2094,3429,1666,1712,4138,3875,1773,1528,3605,2884,2990,2348,2352,3211,2206,1840,2061
"G170","2021","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"0400000US17","17","Illinois",12671469,6264364,361831,402856,406943,261633,174436,84088,79339,243796,426504,430619,439310,410071,389878,405405,410090,168371,233954,140162,183625,270699,156375,105645,78734,6407105,341720,383328,398070,243796,163487,74963,73555,246931,420133,428173,425411,409647,383340,407492,410063,178665,250262,156953,209367,302237,212959,136342,150211,"Illinois",,4540,2925,7951,7818,2338,4164,5714,4987,6365,2981,2889,8297,8022,3487,2417,8153,6367,6183,4919,5365,6797,5021,3487,4233,4540,2173,8664,8247,2851,4322,5037,5193,7462,3875,3049,7963,8202,2778,2422,7202,6182,6612,5958,5848,7603,5270,4144,5369
"G180","2021","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,"0400000US18","18","Indiana",6805985,3374931,207700,220964,241099,144511,99838,45576,49054,140428,227128,217471,224285,218330,200857,207560,212065,92420,126429,76266,103645,143024,83671,50893,41717,3431054,200330,207033,228183,135578,92838,48337,49171,135714,218299,219827,215783,213334,201226,208421,211563,97991,131063,82795,114694,164362,107615,71621,75276,"Indiana",,5087,3052,7062,7448,2436,3694,3806,4075,6705,3154,2764,7468,6984,2357,2118,6576,4655,4758,4144,4483,4817,3365,2739,2818,5087,3064,6350,6390,2439,3267,4254,4041,4925,2578,2386,6106,5931,2437,2136,4943,5141,4493,4290,4214,4415,3639,3088,3847
"G190","2021","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,"0400000US19","19","Iowa",3193079,1603267,97221,104872,109818,70924,49114,26817,25956,64163,100028,96954,105680,103343,88143,93712,96157,47373,63122,39166,53633,72253,42717,27049,25052,1589812,90036,96614,106478,61021,44829,25842,23478,58635,98248,95577,105007,94936,83563,90048,98630,45041,64118,40615,52930,80128,51650,38383,44005,"Iowa",,3906,2095,4517,4557,1917,2751,2953,3431,3707,2047,1906,3960,3569,2089,1523,3077,2510,2893,2649,2219,2911,2141,1826,1768,3906,2255,4447,4397,2245,2202,3156,2932,3531,2146,2224,3990,4256,1734,1459,3405,2873,3113,2472,3049,2724,2367,2347,2112
"G200","2021","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,"0400000US20","20","Kansas",2934582,1474610,92451,100779,107211,64272,45083,19883,21931,64757,97203,96539,108380,86474,81637,83160,88662,38161,56160,31781,47069,62048,37208,24933,18828,1459972,85116,91880,102207,58290,42223,21178,19525,55663,91128,91661,96559,87572,79935,82141,87184,40611,59290,34876,46610,72165,44766,32479,36913,"Kansas",,4717,2270,3266,3961,2185,3024,2584,2924,3963,2803,2797,3705,3729,2067,1960,3839,2914,2949,2103,2560,2328,2152,1685,1297,4717,1792,4083,4201,2120,3342,2713,2640,4034,2594,2052,4305,4414,2367,1814,3496,3054,3044,2101,2257,2773,2641,2138,2406
"G210","2021","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,"0400000US21","21","Kentucky",4509394,2229328,134032,143655,152246,90354,62778,33156,32167,86817,148735,146572,145972,142064,132339,142742,145132,59286,86925,51163,70776,102130,58310,35353,26624,2280066,125246,134440,146870,88612,64350,26366,24427,86011,141749,145923,143204,142160,135350,141875,153372,63056,92995,58920,79310,113461,74510,48846,49013,"Kentucky",,4568,2405,5307,5863,2276,3625,3530,3163,3853,2309,2582,4833,5204,2010,2001,4207,3589,3610,2943,3378,3348,2555,2522,2130,4568,2925,5216,5375,2546,3795,2636,2954,4328,3006,2089,4912,4960,2207,1699,4584,3612,3998,3231,3581,3773,3249,3346,3486
"G220","2021","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,"0400000US22","22","Louisiana",4624047,2260866,141470,150974,163667,94832,58384,35387,32425,90208,145904,154936,160542,146871,128116,130569,144219,56406,85069,54866,70892,96642,56998,35594,25895,2363181,140488,145091,156550,88971,59849,33813,30667,84085,145912,163889,163617,150947,130199,138453,143884,68855,92468,56737,82098,115513,70498,51821,48776,"Louisiana",,6153,3959,5677,6285,3848,4001,3892,4011,5472,4050,4345,6719,6643,3717,3631,5540,4088,4609,3379,4106,4148,3164,2282,2440,6153,4237,6622,6565,4160,4074,3894,3609,4277,4362,4362,6075,5900,3764,2935,5011,4005,4353,3840,3926,4676,3505,3081,2725
"G230","2021","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,"0400000US23","23","Maine",1372247,673483,31287,32380,40033,23352,15555,10438,6568,21702,38844,43725,43304,39691,38932,46359,51745,23835,28502,18804,28554,40862,24015,13524,11472,698764,29747,36693,33224,22959,14355,8985,9020,20871,40211,42886,44891,39563,40289,45119,51435,23622,35024,20295,29673,45783,28421,18108,17590,"Maine",,1978,845,2445,2330,868,812,1625,1438,1860,944,1317,2486,2445,974,892,2427,2535,1940,1729,1915,2355,1432,1282,1226,1978,775,2582,2403,853,1270,1910,1828,2268,1181,888,2894,2878,926,440,2439,2280,2234,1731,2057,2249,1956,1547,1846
"G240","2021","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,"0400000US24","24","Maryland",6165129,3003091,176219,195317,202613,121801,75834,36840,40854,114689,196103,209282,215731,192641,185788,197206,202347,83989,117002,61681,91352,125350,73682,48371,38399,3162038,174431,179602,194650,115464,77311,35544,37217,113483,194426,216714,219185,201734,191940,211221,213432,89992,131144,74601,102492,151513,100195,65789,69958,"Maryland",,2917,1573,6016,6120,1818,2273,3354,3872,4533,2315,2314,6026,5936,2555,1846,4511,4536,4776,3135,4017,3801,3061,2838,2616,2917,1721,4700,4719,1687,2918,3759,4028,4816,2008,1715,6010,5966,2019,1997,6168,4978,4891,4034,4331,5045,3817,3440,3489
"G250","2021","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,"0400000US25","25","Massachusetts",6984723,3408252,175289,183343,209335,127743,102375,51744,47485,137622,242060,248049,235722,210846,201737,227132,236255,98719,135310,74739,112766,154055,91601,55548,48777,3576471,170886,181910,192653,120781,109505,50948,51768,136581,242315,247190,235351,217616,209308,237486,247571,100204,145437,89380,121155,178690,115479,74148,100109,"Massachusetts",,2603,1327,5267,5356,1221,2092,4171,3391,4913,1722,1915,7080,6929,1776,1392,6516,4857,5737,3284,4228,4512,3509,2597,2934,2603,1188,5624,5529,1285,2723,3478,4212,4646,1433,1285,5695,5663,1343,1426,5277,4428,5195,3731,4432,4456,4607,3734,4437
"G260","2021","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,"0400000US26","26","Michigan",10050811,4976869,277827,304660,320312,197786,138551,68880,69799,193503,337300,334207,303974,303673,284389,324082,341671,140610,207122,125486,170399,235125,143767,84292,69454,5073942,268152,280914,311759,190527,129151,70998,66527,189570,320308,322539,303586,303341,289669,324380,331797,151411,224552,137292,178960,270996,175183,110243,122087,"Michigan",,4298,1989,7174,7557,2280,3624,4244,4400,5846,2439,2601,6445,6174,2097,2291,5744,5797,5396,4159,4162,4948,4174,3126,3638,4298,2217,7075,7067,2197,2504,4211,4649,5417,2690,2211,6678,6340,2268,1806,6411,4754,5392,4267,4533,4898,4512,4269,4041
"G270","2021","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,"0400000US27","27","Minnesota",5707390,2860668,169996,184804,197981,117959,76140,35954,37811,104941,185994,193650,203509,190078,165277,174724,186150,76178,115894,66816,87456,128236,69571,49612,41937,2846722,160738,174367,190646,112490,69935,37067,35130,102689,178473,184445,195133,181932,156512,172488,182467,79313,117253,70424,94333,133728,88236,60403,68520,"Minnesota",,3670,1663,5546,5029,2045,2369,3246,3142,4547,2412,2103,5363,5900,2183,2089,5048,3574,4571,3609,3162,3485,2270,2386,2186,3670,2048,5549,4884,1798,2094,3245,3468,4556,1922,2576,5710,5866,1991,1793,5193,3090,4860,3669,3267,4107,3046,2624,2897
"G280","2021","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,"0400000US28","28","Mississippi",2949965,1435423,91938,88936,110601,65766,46129,21451,17690,61450,87144,86096,95223,91855,86669,84778,88714,34580,57702,34206,44312,64676,38591,23206,13710,1514542,81344,87942,106686,58672,44515,19419,19910,59349,88950,94754,100906,95051,89830,93770,89755,41772,63673,42148,49712,73499,47331,33703,31851,"Mississippi",,5530,4539,4783,4516,3467,3495,3038,2694,4276,4002,3942,5709,5793,5384,3858,4001,3039,4152,2899,3498,3334,2383,1980,1772,5530,3905,5336,5416,3379,4093,2448,3372,4421,3312,4413,6138,4996,3279,3552,4749,3731,4160,3162,3567,3829,2815,2810,2340
